X,Y,OBJECTID,ID,OBJEKTSCHLUESSEL,BAUMNUMMER,BAUMART,PFLANZDATUM
12.9043550705021,50.79149073741,1,11048,0674//, 11,"Catalpa bignonioides, Gewöhnlicher Trompetenbaum",2009
12.8912914056715,50.7930321825166,2,37354,7335//, 100,"Acer pseudoplatanus, Berg-Ahorn",2008
12.9249295660253,50.8223955352043,3,28766,7389//, 602,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2008
12.9248083261412,50.8222757065374,4,28768,7389//, 603,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2008
12.9055257722334,50.8468505768958,5,22879,7305//, 1202,"Tilia vulgaris 'Pallida', Kaiserlinde",2000
12.9240874391039,50.8214247081698,6,28786,7389//, 1200,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9238588213534,50.8209859416895,7,28792,7389//, 1600,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2011
12.9238162041265,50.8209161804728,8,28798,7389//, 1800,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9231742349979,50.8192168793773,9,28814,7389//, 2202,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2008
12.916804265065,50.8168181847019,10,28852,7390//, 4001,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2009
12.9170376512061,50.8474248578291,11,983,0041//, 518,"Acer platanoides, Spitz-Ahorn",1976
12.9190548859436,50.8175594350587,12,28871,7390//, 4800,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2009
12.9059923512276,50.846796908384,13,22881,7305//, 1400,"Tilia x vulgaris, Holländische Linde",1915
12.9195414525266,50.8177167238176,14,28877,7390//, 5000,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2008
12.9241194593025,50.8211404446326,15,28930,7390//, 6700,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9084039806443,50.8196560701391,16,57850,7619//, 101,"Quercus robur, Stiel-Eiche",2013
12.9170574029592,50.8474111367952,17,984,0041//, 519,"Acer platanoides, Spitz-Ahorn",1990
12.9170768586165,50.8474003946594,18,985,0041//, 520,"Acer platanoides, Spitz-Ahorn",1979
12.9171085890197,50.8473849259213,19,988,0041//, 523,"Acer pseudoplatanus, Berg-Ahorn",1976
12.9170998746723,50.8473779115495,20,989,0041//, 524,"Acer pseudoplatanus, Berg-Ahorn",1986
12.9171184906212,50.8473728475759,21,990,0041//, 525,"Betula  species, Birke",1979
12.9180297578362,50.8470179951686,22,1007,0041//, 542,"Acer platanoides, Spitz-Ahorn",1948
12.9178519943304,50.8475599952965,23,966,0041//, 502,"Acer platanoides, Spitz-Ahorn",1958
12.9180149675616,50.8469741268,24,1010,0041//, 545,"Acer platanoides, Spitz-Ahorn",1948
12.8773096096864,50.8396532283228,25,8032,0213/01/, 112,"Tilia  species, Linde",1995
12.858502698645,50.8078408671999,26,40713,7685//, 13100,"Fraxinus excelsior 'Westhof's Glorie', Sorte der Esche",2001
12.8359359157493,50.8564563353685,27,24809,7874//, 2100,"Quercus robur, Stiel-Eiche",1960
12.8771916398733,50.8396528038507,28,8030,0213/01/, 110,"Acer campestre, Feld-Ahorn",1989
12.8583514116788,50.8079363337875,29,40639,7685//, 13000,"Fraxinus excelsior 'Westhof's Glorie', Sorte der Esche",2001
12.8771408501403,50.8396486012285,30,8029,0213/01/, 109,"Acer campestre, Feld-Ahorn",1992
12.8770775623537,50.8395291775149,31,8028,0213/01/, 108,"Acer campestre, Feld-Ahorn",1994
12.8770917311923,50.8395670689503,32,8027,0213/01/, 107,"Carpinus  species, Hainbuche",1995
12.8770855346947,50.8396234699392,33,8026,0213/01/, 106,"Tilia  species, Linde",1994
12.8770668827432,50.8396773300886,34,8025,0213/01/, 105,"Acer campestre, Feld-Ahorn",1995
12.8770835180261,50.83973617475,35,8024,0213/01/, 104,"Alnus  species, Erle",1981
12.8685896575833,50.8561779721025,36,8581,0770//, 21,"Quercus  species, Eiche",1913
12.8848652737718,50.8390938011515,37,8297,0213/03/, 16,"Betula pendula, Sand-Birke",1944
12.9493937441979,50.8063532656294,38,33701,7141//, 5900,"Tilia  species, Linde",1910
12.9264378923064,50.8527568845824,39,63795,0816//, 43,"Juglans regia, Walnuß",
12.9494055153621,50.8062740182031,40,33702,7141//, 6000,"Tilia  species, Linde",1910
12.9494323475011,50.8061119629212,41,33704,7141//, 6200,"Tilia  species, Linde",1910
12.9494429690573,50.8060306032812,42,33705,7141//, 6300,"Tilia  species, Linde",1910
12.9494569664502,50.8059513374291,43,33706,7141//, 6400,"Tilia  species, Linde",1910
12.8187879343973,50.8329736916384,44,15500,0505//, 35,"Ulmus  species, Ulme",1975
12.94949612658,50.8057375920682,45,33708,7141//, 6600,"Tilia  species, Linde",1910
12.9494871390936,50.8056238862463,46,33709,7141//, 6700,"Tilia  species, Linde",1910
12.9494564977477,50.8055435629987,47,33710,7141//, 6800,"Tilia  species, Linde",1910
12.949413787714,50.8054718254236,48,33711,7141//, 6900,"Tilia  species, Linde",1910
12.9493094043628,50.8053292129657,49,33713,7141//, 7100,"Tilia  species, Linde",1910
12.8187777517178,50.8329865057444,50,15501,0505//, 35/A,"Ulmus glabra, Berg-Ulme",1968
12.8188498171153,50.8335006459107,51,15527,0505//, 57,"Ulmus glabra, Berg-Ulme",1980
12.818620608649,50.8336237461123,52,15540,0505//, 64,"Ulmus glabra, Berg-Ulme",1950
12.8175834385855,50.8334047271882,53,15575,0505//, 89,"Fraxinus excelsior, Gemeine Esche",1910
12.8178922176725,50.8335464713173,54,15589,0505//, 95,"Acer pseudoplatanus, Berg-Ahorn",1910
12.8981811644455,50.7803889554589,55,44518,7789//, 2103,"Quercus robur, Stiel-Eiche",2006
12.9491585896299,50.8051523515596,56,33715,7141//, 7300,"Tilia  species, Linde",1910
12.9490880809083,50.8050850824682,57,33716,7141//, 7400,"Tilia  species, Linde",1910
12.9490051603172,50.8050108405851,58,33717,7141//, 7500,"Tilia  species, Linde",1910
12.9489402683523,50.804945647053,59,33718,7141//, 7600,"Tilia  species, Linde",1910
12.9488720299385,50.8048804809679,60,33719,7141//, 7700,"Tilia  species, Linde",1910
12.9488037773889,50.8048146049691,61,33720,7141//, 7800,"Tilia  species, Linde",1910
12.9487298654127,50.8047445317363,62,33721,7141//, 7900,"Tilia  species, Linde",1910
12.8189242976316,50.8333552985995,63,15524,0505//, 55,"Ulmus glabra, Berg-Ulme",1950
12.8181661947197,50.8333562138954,64,15568,0505//, 84,"Fraxinus excelsior, Gemeine Esche",1909
12.9483840525859,50.8044102428868,65,33725,7141//, 8200,"Tilia  species, Linde",1910
12.9483212901124,50.8043400876142,66,33726,7141//, 8300,"Tilia  species, Linde",1910
12.9482529958106,50.8042720897681,67,33727,7141//, 8400,"Tilia  species, Linde",1910
12.9481331882745,50.8041387896928,68,33729,7141//, 8600,"Tilia cordata, Winter-Linde",1910
12.9480742197171,50.8040745453069,69,33730,7141//, 8700,"Tilia  species, Linde",1910
12.8850460861,50.8391059216315,70,8296,0213/03/, 15,"Betula pendula, Sand-Birke",1962
12.9163398900922,50.829166541045,71,3074,0069//, 5,"Ginkgo biloba, Ginkgobaum",2000
12.9163213117004,50.8292144482759,72,3075,0069//, 6,"Ginkgo biloba, Ginkgobaum",2000
12.9164141521238,50.8292890037199,73,3076,0069//, 7,"Ginkgo biloba, Ginkgobaum",2000
12.9019230901938,50.8356537823707,74,27751,7062//, 3915,"Tilia vulgaris 'Pallida', Kaiserlinde",1995
12.9164264475551,50.8293731828925,75,3077,0069//, 8,"Acer platanoides, Spitz-Ahorn",1991
12.8770352146183,50.839643498443,76,8023,0213/01/, 103,"Carpinus  species, Hainbuche",1995
12.8770162581277,50.8394601868119,77,8022,0213/01/, 102,"Tilia  species, Linde",1989
12.8770234562368,50.839513206102,78,8021,0213/01/, 101,"Acer campestre, Feld-Ahorn",1995
12.877014042362,50.8395630683588,79,8020,0213/01/, 100,"Carpinus  species, Hainbuche",1995
12.8770017881925,50.8396817567263,80,8018,0213/01/, 98,"Carpinus  species, Hainbuche",1997
12.8770140183495,50.8397275285001,81,8017,0213/01/, 97,"Carpinus  species, Hainbuche",1995
12.8769385526091,50.8395105635553,82,8016,0213/01/, 96,"Acer campestre, Feld-Ahorn",1995
12.8769364650474,50.8395643087467,83,8015,0213/01/, 95,"Acer campestre, Feld-Ahorn",1997
12.8769415543494,50.8396153748382,84,8014,0213/01/, 94,"Acer campestre, Feld-Ahorn",1997
12.8768708330727,50.8396512885979,85,8013,0213/01/, 93,"Carpinus  species, Hainbuche",1995
12.8769006397049,50.8396956156766,86,8012,0213/01/, 92,"Carpinus  species, Hainbuche",1995
12.9103374477263,50.8470493641227,87,22904,7305//, 2900,"Tilia vulgaris 'Pallida', Kaiserlinde",2003
12.8769242181019,50.8397393419136,88,8011,0213/01/, 91,"Tilia  species, Linde",1978
12.8584071300542,50.8078166702403,89,40714,7685//, 13200,"Fraxinus excelsior 'Westhof's Glorie', Sorte der Esche",2001
12.8583136171928,50.8077924677833,90,40715,7685//, 13300,"Fraxinus excelsior 'Westhof's Glorie', Sorte der Esche",2001
12.8582160249337,50.8077709020384,91,40716,7685//, 13400,"Fraxinus excelsior 'Westhof's Glorie', Sorte der Esche",2001
12.8012506492069,50.8083360756055,92,42994,7853//, 1101,"Fraxinus excelsior, Gemeine Esche",1940
12.8768259037591,50.8396280379957,93,8010,0213/01/, 90,"Carpinus  species, Hainbuche",1995
12.8979818423375,50.8403703521091,94,24383,7723//, 700,"Tilia cordata, Winter-Linde",1999
12.8978820406397,50.8403409610352,95,24384,7723//, 800,"Tilia cordata 'Greenspire', Sorte der Winter-Linde",1992
12.9365067918022,50.8177582151163,96,77837,7153//, 801,"Tilia x euchlora, Krim-Linde",2021
12.9366031469914,50.8177026706168,97,78754,7153//, 800,"Tilia x euchlora, Krim-Linde",2021
12.8976758815038,50.8402839024411,98,24388,7723//, 1000,"Tilia cordata 'Greenspire', Sorte der Winter-Linde",1999
12.8975708003507,50.8402553971898,99,24389,7723//, 1100,"Tilia cordata 'Greenspire', Sorte der Winter-Linde",1992
12.8974683590549,50.8402260265372,100,24390,7723//, 1200,"Tilia cordata 'Greenspire', Sorte der Winter-Linde",1992